YEARMODA,TEMP,MAX,MIN,DIFF,DFF,TempCelsius,TempKelvins
20160601,65.5,73.6,54.7,0.0,18.9,68.4,341.5
20160602,65.8,80.8,55.0,0.0,25.8,68.6,341.7
20160603,68.4,,55.6,0.0,,70.0,343.1
20160604,57.5,70.9,47.3,0.0,23.6,63.9,337.1
20160605,51.4,58.3,43.2,0.0,15.1,60.6,333.7
20160606,52.2,59.7,42.8,0.0,16.9,61.0,334.1
20160607,56.9,65.1,45.9,0.0,19.2,63.6,336.8
20160608,54.2,,47.5,0.0,,62.1,335.3
20160609,49.4,54.1,45.7,0.0,8.4,59.4,332.6
20160610,49.5,55.9,43.0,0.0,12.9,59.5,332.6
20160611,54.0,62.1,41.7,0.0,20.4,62.0,335.1
20160612,55.4,64.2,46.0,0.0,18.2,62.8,335.9
20160613,58.3,68.2,47.3,0.0,20.9,64.4,337.5
20160614,59.7,67.8,47.8,0.0,20.0,65.2,338.3
20160615,63.4,70.3,49.3,0.0,21.0,67.2,340.4
20160616,57.8,67.5,55.6,0.0,11.9,64.1,337.3
20160617,60.4,70.7,55.9,0.0,14.8,65.6,338.7
20160618,57.3,,54.0,0.0,,63.8,337.0
20160619,56.3,59.2,54.1,0.0,5.1,63.3,336.4
20160620,59.3,69.1,52.2,0.0,16.9,64.9,338.1
20160621,62.6,71.4,50.4,0.0,21.0,66.8,339.9
20160622,61.7,70.2,55.4,0.0,14.8,66.3,339.4
20160623,60.9,67.1,54.9,0.0,12.2,65.8,339.0
20160624,61.1,68.9,56.7,0.0,12.2,65.9,339.1
20160625,65.7,75.4,57.9,0.0,17.5,68.5,341.6
20160626,69.6,77.7,60.3,0.0,17.4,70.7,343.8
20160627,60.7,70.0,,0.0,,65.7,338.9
20160628,65.4,73.0,55.8,0.0,17.2,68.3,341.5
20160629,65.8,73.2,,0.0,,68.6,341.7
20160630,65.7,72.7,59.2,0.0,13.5,68.5,341.6
